0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:20 +0800] "GET /BookStore/image/mmm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:26 +0800] "GET /BookStore/Home_page/Book_classify.jsp?GetThisKindsBook=%E5%8E%86%E5%8F%B2 HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:27 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E7%BB%8F%E6%B5%8E%E5%AD%A6%E5%8E%9F%E7%90%86 HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:08:30 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:42 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:46 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:46 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:47 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:47 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:47 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:47 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:48 +0800] "GET /BookStore/Home_page/BookAdvice_detail.jsp?thisbookname=%E5%9F%8E%E5%8D%97%E6%97%A7%E4%BA%8B HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:49 +0800] "GET /BookStore/Home_page/Home_BookAdvice.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:54 +0800] "GET /BookStore/Home_page/Book_classify.jsp?GetThisKindsBook=%E6%96%87%E8%89%BA HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:58 +0800] "GET /BookStore/Home_page/Book_classify.jsp?GetThisKindsBook=%E7%AB%A5%E4%B9%A6 HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:10:59 +0800] "GET /BookStore/Home_page/Book_classify.jsp?GetThisKindsBook=%E5%B0%8F%E8%AF%B4 HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:40 +0800] "GET /BookStore/Home_page/Home_iframe.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:40 +0800] "GET /BookStore/Home_page/Home_frameset.jsp HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:40 +0800] "GET /BookStore/Home_page/Navigation.jsp HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:40 +0800] "GET /BookStore/Login/Login_interface.jsp HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Jun/2017:01:12:40 +0800] "GET /BookStore/Home_page/Home_classify.jsp HTTP/1.1" 200 1483
